text,label
Pothole near flyover approach,NHAI
Highway work not completed on time,NHAI
No drainage on highway causing floods,NHAI
Road painted over potholes without repair,NHAI
Highway median wall broken,NHAI
Speed camera not working on highway,NHAI
Road extremely slippery on expressway,NHAI
Highway roadside trees not trimmed,NHAI
Pothole hit caused vehicle accident,NHAI
No emergency phone booths on highway,NHAI
Train delayed by more than 3 hours,Railways
Railway station toilet extremely dirty,Railways
Train coach very dirty and smelly,Railways
Platform has no drinking water facility,Railways
Ticket booked but seat not allotted,Railways
Train derailed near station,Railways
Signal failure caused train delay,Railways
Platform number changed without announcement,Railways
No waiting room facility at station,Railways
Railway staff very rude to passengers,Railways
Train AC not working in summer,Railways
Coach overcrowded beyond capacity,Railways
No food available on long distance train,Railways
Luggage stolen in train,Railways
Railway station has broken benches,Railways
Train running late with no update,Railways
Platform lights not working at night,Railways
No coolie service available at station,Railways
Ticket counter queue too long,Railways
IRCTC website not working for booking,Railways
Train missed connection due to delay,Railways
No announcement system working at station,Railways
Railway crossing gate not maintained,Railways
Train toilet completely unusable,Railways
No wheelchair facility at station,Railways
Station building in very poor condition,Railways
Pantry car food quality very bad,Railways
Train fire emergency alarm not working,Railways
Railway staff sleeping during duty,Railways
No first aid kit available in train,Railways
Platform gap too wide causing danger,Railways
Train ticket checker demanded bribe,Railways
Coach window broken in train,Railways
No proper lighting inside train coach,Railways
Station roof leaking in monsoon,Railways
Passenger fell on broken platform,Railways
Train running without proper schedule,Railways
Reserved seat occupied by other passenger,Railways
No security in train at night,Railways
Station parking area badly managed,Railways
Train coach smells very bad,Railways
Railway track repair work pending,Railways
No dustbin on railway platform,Railways
Station food stall selling expired food,Railways
Train horn not working properly,Railways
Railway bridge in dilapidated condition,Railways
No train timing board at station,Railways
Overcrowded unreserved coach dangerous,Railways
Train stopped mid route without reason,Railways
No escalator at busy railway station,Railways
Station master not responding to complaint,Railways
Train booking quota misused,Railways
Railway station encroached by vendors,Railways
No proper security at station entrance,Railways
Train compartment door not closing,Railways
Platform edge not marked clearly,Railways
Station waiting area very crowded,Railways
Sleeper coach condition very poor,Railways
Train arrived at wrong platform,Railways
Railway employee absent during duty,Railways
No passenger information display at station,Railways
Train schedule not updated on board,Railways
Station building roof about to collapse,Railways
Unclean bedroll provided in train,Railways
No charging point available in train,Railways
Railway gate man absent at crossing,Railways
Train running in wrong direction,Railways
Station building toilet locked always,Railways
No train announcement in local language,Railways
Railway track flooding due to rain,Railways
Train coach door stuck during journey,Railways
Reserved coach invaded by general passengers,Railways
Station water supply contaminated,Railways
No train on scheduled time today,Railways
Platform seating area in poor condition,Railways
Train driver rash driving complaint,Railways
No railway helpline response,Railways
Station stray dogs causing disturbance,Railways
Track maintenance crew not working,Railways
No fire extinguisher in train,Railways
Station construction blocking entry,Railways
Train journey very uncomfortable,Railways
Railway employee misbehaved with lady passenger,Railways
No CCTV at railway station,Railways
Train running without pantry service,Railways
Station roof repair pending since years,Railways
Flight delayed by more than 4 hours,Airport
Airport baggage delivery very slow,Airport
Security check queue extremely long,Airport
Airport staff very rude to passengers,Airport
Boarding gate changed without announcement,Airport
Lost baggage at airport,Airport
Airport toilet very dirty,Airport
No seating available at departure gate,Airport
Immigration queue very long,Airport
Airport food very expensive and bad quality,Airport
Runway lights not working at night,Airport
Aircraft pushed back without passenger,Airport
No wheelchair assistance at airport,Airport
Airport parking charges very high,Airport
Flight cancelled without any compensation,Airport
Airport AC not working in terminal,Airport
Baggage carousel broken at airport,Airport
Security staff misbehaved with passenger,Airport
No baby care room at airport,Airport
Airport announcement not clear,Airport
Flight boarding delayed without reason,Airport
Airport taxi service overcharging,Airport
No proper waiting area at airport,Airport
Airline lost important luggage,Airport
Airport wifi not working,Airport
Custom duty charged wrongly,Airport
Airport entry gate broken,Airport
Flight diverted without passenger consent,Airport
Airport fire alarm drill causing panic,Airport
No drinking water at airport terminal,Airport
Passport control very slow at airport,Airport
Airport bus service not running,Airport
Terminal building very dirty,Airport
Flight overbooking complaint,Airport
No interpreter at international airport,Airport
Airport luggage trolley not available,Airport
Security scanner malfunctioning,Airport
Airport lounge overcrowded,Airport
No emergency exit marking at airport,Airport
Flight crew very rude behavior,Airport
Airport ground staff unresponsive,Airport
Departure board not updated,Airport
Airport entry restricted without reason,Airport
No first aid room at airport,Airport
Aircraft air conditioning not working,Airport
Airport runway repair causing delays,Airport
Checkin counter closed early,Airport
Airport baggage xray machine broken,Airport
Flight took off without passenger,Airport
No ramp for disabled passengers at airport,Airport
Airport CCTV not working,Airport
Cargo mishandled at airport,Airport
Airport employee demanded bribe,Airport
Flight crew absent for long time,Airport
No proper signage inside airport,Airport
Airport construction causing inconvenience,Airport
Terminal 2 elevator not working at airport,Airport
Airline refused boarding without reason,Airport
Airport smoking zone not maintained,Airport
No proper queue management at airport,Airport
Flight landing gear issue reported,Airport
Airport retail store fraud complaint,Airport
No currency exchange at small airport,Airport
Aircraft seat broken during flight,Airport
Airport complaint box locked always,Airport
Flight meal not served as promised,Airport
No proper lighting in airport parking,Airport
Airport tarmac vehicle driving recklessly,Airport
Incorrect baggage delivered at airport,Airport
No airport bus to remote terminal,Airport
Airport immigration staff rude,Airport
Flight safety briefing not given,Airport
No departure lounge at small airport,Airport
Airport staff discriminating passengers,Airport
Baggage wrapped service overcharging,Airport
No crèche facility at airport,Airport
Aircraft window broken complaint,Airport
Airport runway encroachment complaint,Airport
No proper queue for security check,Airport
Income tax refund not received for 2 years,IncomeTax
Wrong TDS deducted from salary,IncomeTax
Income tax portal login not working,IncomeTax
PAN card not linked to Aadhaar,IncomeTax
ITR filed but refund not processed,IncomeTax
Income tax notice received wrongly,IncomeTax
Tax officer demanded bribe for refund,IncomeTax
Wrong income shown in form 26AS,IncomeTax
Income tax department not responding to emails,IncomeTax
Refund amount reduced without explanation,IncomeTax
ITR rejected without proper reason,IncomeTax
PAN card application not processed,IncomeTax
Income tax office staff very rude,IncomeTax
TDS certificate not received from employer,IncomeTax
Income tax scrutiny harassment,IncomeTax
Wrong tax demand notice received,IncomeTax
Income tax office not open during hours,IncomeTax
ITR verification not completing on portal,IncomeTax
Tax refund sent to wrong bank account,IncomeTax
Income tax form submission error on portal,IncomeTax
Wrong penalty levied on tax return,IncomeTax
Income tax helpline not answering,IncomeTax
Assessment order wrong for my income,IncomeTax
Tax credit mismatch in form 26AS,IncomeTax
Income tax portal session keeps expiring,IncomeTax
TDS deducted but not deposited by employer,IncomeTax
Income tax officer not visiting for assessment,IncomeTax
Wrong interest charged on tax dues,IncomeTax
ITR acknowledgment not received,IncomeTax
Income tax refund status not updating,IncomeTax
PAN blocked without proper reason,IncomeTax
Tax demand on exempt income,IncomeTax
Income tax online payment not working,IncomeTax
Form 16 error by employer causing tax issue,IncomeTax
Income tax appeal not heard,IncomeTax
Senior citizen tax exemption not applied,IncomeTax
Income tax department delaying refund,IncomeTax
Wrong tax slab applied to my income,IncomeTax
ITR portal OTP not received,IncomeTax
Tax officer issued wrong notice,IncomeTax
Income tax refund rejected unfairly,IncomeTax
PAN card details shown incorrectly,IncomeTax
Income tax challan payment error,IncomeTax
Tax liability calculated wrongly,IncomeTax
Income tax appellate ignored my application,IncomeTax
Wrong advance tax demand raised,IncomeTax
Income tax return not filed due to portal error,IncomeTax
Tax exemption certificate not issued,IncomeTax
ITR processing taking too long,IncomeTax
Income tax officer absent for appointment,IncomeTax
Wrongful attachment of property for tax,IncomeTax
Tax refund intercepted wrongly,IncomeTax
PAN not updated in income tax records,IncomeTax
Income tax notice despite nil return,IncomeTax
TDS refund not credited to account,IncomeTax
Income tax jurisdiction transfer not done,IncomeTax
Tax audit notice received wrongly,IncomeTax
Income tax rectification request ignored,IncomeTax
Wrong demand under section 143,IncomeTax
ITR submitted but not accepted,IncomeTax
Income tax relief not granted despite eligibility,IncomeTax
